m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation,num_his
332,7100,177,3.6302,1,6.3315,0
333,12900,21,3.6346,1,-0.1302,0
334,6700,25,3.6308,1,0.0355,0
335,13600,24.14245014,3.6311,1,-1,0
336,26700,43,3.6303,3,0.7811,0
337,4800,29,3.6307,1,0.2012,0
338,5700,24.14245014,3.6302,3,-1,0
339,1900,24.14245014,3.6302,2,-1,0
340,2800,24.14245014,3.6302,1,-1,0
341,12000,24.14245014,3.6311,2,-1,0
342,5600,21,3.6308,1,-0.1302,0
343,13000,21,3.6355,1,-0.1302,0
344,2600,27,3.6297,1,0.1184,0
345,10800,24.14245014,3.6303,6,-1,0
346,15000,185,3.6302,1,6.6629,0
347,2700,27,3.63,1,0.1184,0
348,7200,95,3.6276,1,2.935,0
349,26300,383,3.6302,1,14.8642,0
350,9100,27,3.632,1,0.1184,0
