m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation
89,7600.0,23.11715481171548,4.0932,3,-1.0
90,3400.0,14.0,4.0937,2,-0.3944
91,2800.0,23.11715481171548,4.094,1,-1.0
92,5300.0,21.0,4.0939,1,-0.0916
93,2900.0,41.0,4.094,1,0.7736
94,6400.0,28.0,4.0939,1,0.2112
95,7000.0,31.0,4.0941,1,0.341
96,4800.0,38.0,4.0939,2,0.6438
97,5400.0,37.0,4.0936,6,0.6005
98,7000.0,32.0,4.0939,1,0.3843
99,9100.0,34.0,4.0934,1,0.4708
100,7500.0,29.0,4.0939,1,0.2545
101,7000.0,23.11715481171548,4.0957,2,-1.0
102,5600.0,25.0,4.0939,3,0.0814
103,6100.0,23.11715481171548,4.0941,1,-1.0
104,6400.0,27.0,4.0939,2,0.168
105,8300.0,29.0,4.0932,6,0.2545
106,6500.0,48.0,4.0941,1,1.0764
107,4600.0,26.0,4.0934,1,0.1247
108,6100.0,29.0,4.0937,6,0.2545
109,4900.0,36.0,4.0939,1,0.5573
110,13600.0,20.0,4.0921,1,-0.1348
111,2600.0,21.0,4.0941,1,-0.0916
112,7000.0,23.0,4.0962,2,-0.0051
113,7100.0,34.0,4.094,0,0.4708
114,5400.0,23.11715481171548,4.0941,2,-1.0
115,7300.0,30.0,4.0941,1,0.2977
116,5400.0,50.0,4.0937,0,1.1629
117,0.0,23.11715481171548,4.0931,6,-1.0
118,8500.0,28.0,4.0932,1,0.2112
119,9200.0,25.0,4.0939,3,0.0814
120,7100.0,27.0,4.0939,1,0.168
121,5300.0,24.0,4.0939,2,0.0382
122,14200.0,23.11715481171548,4.0942,3,-1.0
123,8000.0,35.0,4.094,1,0.514
124,6300.0,31.0,4.0939,1,0.341
125,7800.0,33.0,4.0939,1,0.4275
126,8600.0,15.0,4.094,1,-0.3511
