m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation,num_his
80,2200,23.02916667,3.9191,2,-1,0
81,2600,23.02916667,3.9171,1,-1,0
82,3300,72,3.9173,6,2.1265,0
83,4800,23.02916667,3.9196,6,-1,0
84,7300,27,3.9171,6,0.1724,0
85,6800,39,3.9173,6,0.6935,0
86,5300,23.02916667,3.9191,1,-1,0
87,5200,30,3.9176,3,0.3027,0
88,1900,23.02916667,3.9171,6,-1,0
89,2900,23.02916667,3.9171,1,-1,0
90,4400,23.02916667,3.917,6,-1,0
91,10000,34,3.9171,3,0.4764,0
92,2900,23.02916667,3.9171,6,-1,0
93,7300,30,3.9171,6,0.3027,0
94,2600,23.02916667,3.9173,2,-1,0
95,5500,66,3.9171,5,1.8659,0
96,9900,23,3.9173,6,-0.0013,0
97,7200,35,3.9171,1,0.5198,0
98,6000,23.02916667,3.9171,2,-1,0
99,11800,23.02916667,3.9171,2,-1,0
100,11600,30,3.9171,6,0.3027,0
101,5300,23.02916667,3.9169,1,-1,0
102,1600,23.02916667,3.9134,1,-1,0
103,2700,23.02916667,3.9164,3,-1,0
104,8800,39,3.9168,3,0.6935,0
105,6400,42,3.9172,3,0.8238,0
106,5000,23.02916667,3.9171,3,-1,0
107,5300,23.02916667,3.9166,3,-1,0
108,9100,46,3.9176,3,0.9975,0
109,8100,36,3.9176,1,0.5632,0
110,5800,23.02916667,3.917,3,-1,0
111,7000,23.02916667,3.9174,1,-1,0
112,8900,39,3.9173,6,0.6935,0
113,10300,23.02916667,3.9171,3,-1,0
114,5600,66,3.9173,1,1.8659,0
115,5500,23,3.9172,3,-0.0013,0
