m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation
0,2400,24.0,4.4888,6,-0.0041
1,2500,24.1,4.493,6,-1.0
2,2700,24.0,4.4916,6,-0.0041
3,3000,25.0,4.4916,6,0.0373
4,3200,25.0,4.4902,6,0.0373
5,2100,21.0,4.4924,6,-0.1286
6,4700,19.0,4.4916,6,-0.2116
7,2500,28.0,4.4902,6,0.1618
8,2900,24.0,4.4922,6,-0.0041
9,2900,22.0,4.4916,6,-0.0871
10,2800,27.0,4.4916,6,0.1203
11,2500,24.0,4.4902,6,-0.0041
12,2400,23.0,4.4902,6,-0.0456
13,3000,25.0,4.4833,1,0.0373
14,2500,26.0,4.4926,6,0.0788
15,2500,25.0,4.4922,6,0.0373
16,2400,18.0,4.4916,6,-0.2531
17,2800,19.0,4.4902,4,-0.2116
18,2500,21.0,4.4916,6,-0.1286
19,2500,25.0,4.4793,6,0.0373
20,2200,39.0,4.4902,6,0.6183
21,2500,24.1,4.4926,6,-1.0
22,2600,27.0,4.4916,2,0.1203
23,5800,25.0,4.4916,6,0.0373
24,2500,25.0,4.4916,5,0.0373
25,1900,24.1,4.4833,4,-1.0
26,2500,20.0,4.4926,3,-0.1701
27,4800,29.0,4.4902,6,0.2033
28,2700,37.0,4.4944,6,0.5353
29,1200,45.0,4.4916,6,0.8672
30,3500,25.0,4.4902,6,0.0373
31,3900,24.0,4.4902,6,-0.0041
32,6200,25.0,4.4916,6,0.0373
33,7100,22.0,4.4923,6,-0.0871
34,6400,31.0,4.4902,6,0.2863
35,3200,25.0,4.4916,5,0.0373
36,6600,14.0,4.4916,6,-0.4191
37,5600,25.0,4.4916,5,0.0373
38,3000,17.0,4.4874,2,-0.2946
